Timestamp,Indique o seu sexo.,Indique a sua faixa etaria. ,Em termos de utilizacao das aplicacoes em questao pode ser dizer que:,Entre as duas aplicacoes qual utiliza mais?,Diria que a aplicacao pode se dizer intuitiva?,Foi facil encontrar os produtos que procura?,Como classifica a qualidade da aplicacao?,Como classifica a qualidade do servico?,Quao frequentemente utiliza a aplicacao?,Diria que a  aplicacao se pode dizer intuitiva?,Foi fa¡cil encontrar os produtos que procura?,Como classifica a qualidade da aplicacao?,Como classifica a qualidade do servico?,Quao frequentemente utiliza a aplicacao?
2019/03/23 8:28:20 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 8:35:20 PM GMT+1,Masculino,19 - 25,Utilizo apenas a Glovo,,Sim,Sim,5,5,De longe a longe ao longo do ano,,,,,
2019/03/23 8:35:27 PM GMT+1,Masculino,26 - 35,Utilizo ambas as aplicacoes,Glovo,Nao ,Sim,4,4,De longe a longe ao longo do ano,,,,,
2019/03/23 9:07:57 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 9:25:37 PM GMT+1,Feminino,19 - 25,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,4,4,Uma vez por semana
2019/03/23 9:34:31 PM GMT+1,Masculino,46 - 60,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,4,4,De longe a longe ao longo do ano
2019/03/23 10:16:44 PM GMT+1,Feminino,19 - 25,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,4,5,De longe a longe ao longo do ano
2019/03/23 10:25:37 PM GMT+1,Feminino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/23 10:38:00 PM GMT+1,Masculino,19 - 25,Utilizo ambas as aplicacoes,Glovo,Sim,Sim,4,4,De longe a longe ao longo do ano,,,,,
2019/03/23 10:52:21 PM GMT+1,Masculino,19 - 25,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,5,5,De longe a longe ao longo do ano
2019/03/24 12:00:28 AM GMT+1,Feminino,26 - 35,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,5,5,De longe a longe ao longo do ano
2019/03/24 2:49:49 AM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/24 12:36:50 PM GMT+1,Masculino,26 - 35,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,5,5,Uma ou duas vezes por mes
2019/03/24 1:46:58 PM GMT+1,Masculino,19 - 25,Utilizo apenas a Glovo,,Sim,Sim,4,5,De longe a longe ao longo do ano,,,,,
2019/03/24 3:13:24 PM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/24 3:18:54 PM GMT+1,Masculino,19 - 25,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,4,2,Uma vez por semana
2019/03/24 6:16:34 PM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/24 9:16:27 PM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/24 11:28:51 PM GMT+1,Feminino,19 - 25,Utilizo apenas a Uber Eats,,,,,,,Sim,Sim,4,4,De longe a longe ao longo do ano
2019/03/25 1:24:47 AM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/25 12:19:00 PM GMT+1,Masculino,19 - 25,Utilizo ambas as aplicacoes,Uber Eats,,,,,,Sim,Sim,4,4,Uma ou duas vezes por mes
2019/03/25 12:24:52 PM GMT+1,Masculino,19 - 25,Nao utilizo nenhuma das duas aplicacoes,,,,,,,,,,,
2019/03/26 10:45:56 PM GMT+1,Feminino,19 - 25,Utilizo ambas as aplicacoes,Uber Eats,,,,,,Sim,Sim,5,5,De longe a longe ao longo do ano
